날짜,내용
2018-02-22,"트럼프 미국 대통령, 중국산 수입품(500억 달러)에 관세부과, 세계무역기구(WTO) 제소, 중국의 대미 투자제한 등의 내용을 담은 행정명령 서명."
2018-03-23,"중국, 돈육 등 30억 달러(약 3조1천900억원) 규모 미국산 수입품에 보복관세 예고"
2018-04-02,"중국, 미국산 돈육 등 8개 품목에 25%, 120개 품목에 15% 관세 부과"
2018-04-03,"미국, 중국산 통신장비 등 25% 관세부과 대상 500억 달러 규모 품목 발표"
2018-04-04,"중국, 미국산 대두, 자동차 등 106개 품목에 25% 관세부과 방침 발표"
2018-05-03,"미중, 베이징서 무역협상"
2018-05-04,"미중, 워싱턴서 무역협상"
2018-05-28,"미국, 중국산 첨단기술 품목 25% 고율 관세부과 강행방침 발표"
2018-06-02,"미중, 베이징서 무역협상"
2018-06-03,"미중, 베이징서 무역협상"
2018-06-18,"트럼프, 2천억 달러 규모 중국산 제품에 추가 보복관세 부과 경고"
2018-07-02,"중국, 미 반도체기업 마이크론 제품 중국 내 판매 금지"
2018-07-06,"미중, 상호 340억 달러 규모 수입품에 25% 관세 부과"
2018-07-10,"미국, 중국의 보복관세에 대한 재보복 조치로 2천억 달러에 10% 관세부과 계획 발표(9월 발효 예정)"
2018-08-22,미중 워싱턴서 무역협상
2018-08-23,미중 워싱턴서 무역협상
2018-09-24,"미중, 상호 160억 달러 규모 수입품에 25% 관세부과"
2018-12-01,"미국, 2천억 달러 규모 중국산 수입품에 10% 관세부과. 중국, 600억달러 규모 미국산 수입품에 관세 부과"
2018-12-01,"미중 정상, G20 정상회의에서 향후 90일간 추가 관세부과 유예 및 무역협상 재개 합의"
2019-01-07,"미중, 베이징서 무역협상"
2019-01-08,"미중, 베이징서 무역협상"
2018-01-09,"미중, 베이징서 무역협상"
2019-01-30,"미중, 워싱턴서 무역협상"
2019-01-31,"미중, 워싱턴서 무역협상"
2019-02-14,"미중, 베이징서 무역협상"
2019-02-15,"미중, 베이징서 무역협상"
2019-02-19,"미중, 워싱턴서 차관급 무역협상"
2019-02-20,"미중, 워싱턴서 고위급 무역협상"
2019-02-21,"미중, 워싱턴서 고위급 무역협상"
2019-02-22,"미중, 워싱턴서 고위급 무역협상"
2019-02-23,"미중, 워싱턴서 고위급 무역협상"
2019-02-24,"미중, 워싱턴서 고위급 무역협상"
2019-02-24,"미국, 2천억달러 규모 중국산 수입품 관세 인상 보류"
2019-03-28,"미중, 베이징서 무역협상"
2019-03-29,"미중, 베이징서 무역협상"
2019-04-03,"미중, 워싱턴서 무역협상"
2019-04-04,"미중, 워싱턴서 무역협상"
2019-04-30,"미중, 베이징서 무역협상"
2019-05-01,"미중, 베이징서 무역협상"
2019-05-05,"트럼프 대통령, 2천억 달러 규모 중국산 수입품 관세 인상·3천250억 달러 규모 수입품에 25% 추가 관세부과 계획 발표"
2019-05-09,"미중, 워싱턴서 무역협상"
2019-05-10,"미중, 워싱턴서 무역협상"
2019-05-10,"미국, 2천억 달러 규모 중국산 수입품 관세율 10%에서 25%로 인상"
